textbox6,textbox13
Session Time By Day,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

DayName,SessionTime
Sunday,37.65
Monday,491.1
Tuesday,450.47
Wednesday,437.03
Thursday,311.93
Friday,64.42

