textbox6,textbox13
Students By Day,"Start: 01/20/2021 - End: 05/07/2021
Locations: Tinsley Learning Center"

DayName,SignInCount
Sunday,17
Monday,140
Tuesday,133
Wednesday,116
Thursday,94
Friday,21

